epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.9348,1.19719,2.17628,1.0787,0.50147,0.50455,0.49817,0.36961,0.8646,1.32253,0.95483,0.000551987,0.000551987,0.000551987
2,51.2104,1.05711,1.18032,1.01362,0.64686,0.76625,0.74271,0.5368,0.81116,1.04786,0.95152,0.00109395,0.00109395,0.00109395
3,75.8936,1.01319,1.02006,0.99657,0.89178,0.69958,0.81181,0.60146,0.8371,0.7944,0.94516,0.00162215,0.00162215,0.00162215
4,101.67,1.00605,0.92894,1.00043,0.85707,0.80247,0.85361,0.63344,0.80996,0.74589,0.94411,0.00160511,0.00160511,0.00160511
5,125.326,0.94036,0.88074,0.96866,0.85255,0.74037,0.82841,0.64119,0.74725,0.72898,0.9258,0.00158448,0.00158448,0.00158448
6,149.6,0.92118,0.79096,0.95752,0.89456,0.79139,0.87302,0.64957,0.73736,0.67976,0.92235,0.00156385,0.00156385,0.00156385
7,174.792,0.9065,0.77873,0.95065,0.8896,0.8344,0.8872,0.70143,0.73213,0.63882,0.93059,0.00154323,0.00154323,0.00154323
8,199.51,0.9015,0.72582,0.9524,0.83028,0.7944,0.8556,0.65691,0.70054,0.6159,0.9043,0.0015226,0.0015226,0.0015226
9,224.771,0.91166,0.72401,0.95102,0.92838,0.83006,0.9089,0.71404,0.67023,0.54608,0.90018,0.00150197,0.00150197,0.00150197
10,249.586,0.85948,0.68272,0.93798,0.8754,0.84188,0.87234,0.6906,0.69774,0.54381,0.90817,0.00148134,0.00148134,0.00148134
11,274.724,0.85182,0.66699,0.94263,0.88479,0.84521,0.87522,0.70479,0.65335,0.53816,0.89544,0.00146071,0.00146071,0.00146071
12,300.812,0.84913,0.66546,0.93269,0.91174,0.83541,0.89013,0.70537,0.66567,0.52033,0.9096,0.00144008,0.00144008,0.00144008
13,327.41,0.84411,0.64097,0.9269,0.94162,0.82832,0.89945,0.70676,0.67518,0.52446,0.90814,0.00141945,0.00141945,0.00141945
14,353.511,0.8344,0.61326,0.92915,0.94826,0.80866,0.89397,0.71674,0.65107,0.52232,0.89458,0.00139882,0.00139882,0.00139882
15,382.276,0.82348,0.611,0.92065,0.92149,0.82887,0.89406,0.70119,0.65689,0.52044,0.89759,0.00137819,0.00137819,0.00137819
16,411.667,0.80889,0.59721,0.92114,0.92796,0.85238,0.90284,0.72556,0.63708,0.48793,0.89396,0.00135756,0.00135756,0.00135756
17,434.699,0.80702,0.57597,0.92188,0.88183,0.81437,0.88641,0.69163,0.65287,0.50955,0.90461,0.00133693,0.00133693,0.00133693
18,457.047,0.78779,0.57041,0.91505,0.89503,0.88683,0.89609,0.70815,0.63195,0.47088,0.8975,0.0013163,0.0013163,0.0013163
19,479.81,0.77569,0.56094,0.90751,0.9191,0.86215,0.9009,0.73677,0.62856,0.4974,0.89296,0.00129568,0.00129568,0.00129568
20,502.249,0.77938,0.56236,0.90752,0.9545,0.85509,0.91069,0.72563,0.64722,0.47482,0.90082,0.00127505,0.00127505,0.00127505
21,524.988,0.78493,0.56936,0.90996,0.93568,0.83634,0.91685,0.73825,0.63593,0.4678,0.89434,0.00125442,0.00125442,0.00125442
22,547.704,0.77586,0.54991,0.90905,0.91912,0.88385,0.92304,0.74088,0.62355,0.47037,0.88923,0.00123379,0.00123379,0.00123379
23,570.754,0.76356,0.55043,0.90664,0.89977,0.87863,0.90811,0.74089,0.62749,0.47311,0.88899,0.00121316,0.00121316,0.00121316
24,593.995,0.7393,0.52831,0.9042,0.91247,0.86895,0.90464,0.7136,0.64988,0.45362,0.89655,0.00119253,0.00119253,0.00119253
25,617.099,0.75922,0.52135,0.90694,0.90325,0.88732,0.92143,0.75201,0.61664,0.43139,0.8871,0.0011719,0.0011719,0.0011719
26,640.014,0.73992,0.51104,0.89396,0.9481,0.84849,0.91569,0.74815,0.62937,0.44517,0.88803,0.00115127,0.00115127,0.00115127
27,662.656,0.76655,0.53604,0.89774,0.95458,0.87195,0.9133,0.75248,0.60504,0.43667,0.88747,0.00113064,0.00113064,0.00113064
28,685.62,0.74835,0.52529,0.89307,0.90693,0.85559,0.91472,0.74232,0.61362,0.43626,0.89328,0.00111001,0.00111001,0.00111001
29,708.431,0.75252,0.52274,0.90164,0.94889,0.85308,0.91142,0.75104,0.61303,0.42646,0.88794,0.00108938,0.00108938,0.00108938
30,731.021,0.72551,0.50294,0.89402,0.97043,0.84862,0.90854,0.74581,0.59093,0.43923,0.8844,0.00106876,0.00106876,0.00106876
31,753.84,0.73505,0.50323,0.89949,0.9165,0.86911,0.89404,0.74552,0.59588,0.44851,0.88319,0.00104813,0.00104813,0.00104813
